freq,psd_x,psd_y,psd_z,psd_xyz
172.0,8.024e+02,3.101e+02,1.607e+02,1.273e+03
173.2,8.512e+02,2.745e+02,1.250e+02,1.251e+03
174.5,9.940e+02,3.858e+02,1.404e+02,1.520e+03
175.7,9.859e+02,4.470e+02,1.577e+02,1.591e+03
177.0,8.698e+02,3.049e+02,1.354e+02,1.310e+03
178.3,7.811e+02,1.758e+02,1.130e+02,1.070e+03
179.5,9.193e+02,1.826e+02,1.083e+02,1.210e+03
180.8,9.462e+02,1.973e+02,1.018e+02,1.245e+03
182.0,1.052e+03,1.372e+02,9.736e+01,1.287e+03
183.3,7.996e+02,9.966e+01,1.148e+02,1.014e+03
184.5,7.095e+02,1.117e+02,1.038e+02,9.250e+02
185.8,8.477e+02,8.779e+01,9.258e+01,1.028e+03
187.0,8.582e+02,8.260e+01,1.063e+02,1.047e+03
188.3,9.622e+02,1.233e+02,1.332e+02,1.219e+03
189.5,9.196e+02,1.084e+02,9.196e+01,1.120e+03
190.8,7.049e+02,9.355e+01,8.870e+01,8.871e+02
192.1,6.401e+02,8.441e+01,1.030e+02,8.275e+02
193.3,8.997e+02,8.876e+01,8.146e+01,1.070e+03
194.6,8.195e+02,8.108e+01,9.745e+01,9.981e+02
195.8,8.862e+02,7.589e+01,9.992e+01,1.062e+03
197.1,8.703e+02,9.898e+01,1.042e+02,1.074e+03
198.3,7.812e+02,7.631e+01,9.192e+01,9.494e+02
199.6,6.715e+02,7.441e+01,7.982e+01,8.257e+02
